table_id,size_bytes,size_gb,row_count,created_at,last_modified
stg_fact_equity_kline_1d,16142837035,15.0342,73212169,2026-05-23 14:26:08,2026-05-23 14:26:08
stg_fact_board_component_1d,8843142681,8.2358,41139989,2026-05-23 14:24:02,2026-05-23 14:24:02
stg_fact_limit_price_1d,6320243935,5.8862,32809196,2026-05-23 14:29:55,2026-05-23 14:29:55
stg_fact_adjust_factor,5792571893,5.3948,35346472,2026-05-23 14:22:57,2026-05-23 14:22:57
stg_fact_board_kline_1d,3034120976,2.8257,11266897,2026-05-23 14:24:18,2026-05-23 14:24:18
stg_fact_equity_kline_1w,2432173721,2.2651,11212341,2026-05-23 14:26:37,2026-05-23 14:26:37
stg_fact_fund_kline_1d,1522890995,1.4183,6876988,2026-05-23 14:28:11,2026-05-23 14:28:11
stg_fact_index_kline_1d,719413735,0.67,3027447,2026-05-23 14:29:07,2026-05-23 14:29:07
stg_fact_top10_float_shareholders,655082109,0.6101,2478582,2026-05-23 14:30:38,2026-05-23 14:30:38
stg_fact_equity_kline_1mo,593432848,0.5527,2665259,2026-05-23 14:26:24,2026-05-23 14:26:24
stg_fact_business_composition,441637648,0.4113,1984797,2026-05-23 14:24:50,2026-05-23 14:24:50
stg_fact_financial_indicator,398262371,0.3709,341977,2026-05-23 14:27:43,2026-05-23 14:27:43
stg_fact_top10_shareholders,396820255,0.3696,1612256,2026-05-23 14:30:47,2026-05-23 14:30:47
stg_fact_fund_kline_1w,323033760,0.3008,1442867,2026-05-23 14:28:33,2026-05-23 14:28:33
stg_fact_balance_sheet,317395752,0.2956,311277,2026-05-23 14:23:30,2026-05-23 14:23:30
stg_fact_suspend_1d,284747285,0.2652,1711628,2026-05-23 14:30:29,2026-05-23 14:30:29
stg_fact_cash_flow_statement,230110964,0.2143,287531,2026-05-23 14:25:02,2026-05-23 14:25:02
stg_fact_income_statement,194037067,0.1807,317841,2026-05-23 14:28:49,2026-05-23 14:28:49
stg_dim_board,179636211,0.1673,762751,2026-05-23 14:22:07,2026-05-23 14:22:07
stg_fact_index_kline_1w,153803673,0.1432,642288,2026-05-23 14:29:39,2026-05-23 14:29:39
stg_fact_board_kline_1w,100113864,0.0932,362835,2026-05-23 14:24:43,2026-05-23 14:24:43
stg_fact_shareholder_count,84381798,0.0786,499309,2026-05-23 14:30:13,2026-05-23 14:30:13
stg_fact_fund_kline_1mo,78096257,0.0727,342126,2026-05-23 14:28:22,2026-05-23 14:28:22
stg_fact_st_status_1d,67746175,0.0631,321587,2026-05-23 14:30:20,2026-05-23 14:30:20
stg_fact_earnings_forecast,62589111,0.0583,115446,2026-05-23 14:25:47,2026-05-23 14:25:47
stg_fact_disclosure_schedule,47969978,0.0447,252558,2026-05-23 14:25:17,2026-05-23 14:25:17
stg_fact_index_kline_1mo,36702067,0.0342,151831,2026-05-23 14:29:25,2026-05-23 14:29:25
stg_fact_board_kline_1mo,23897137,0.0223,85600,2026-05-23 14:24:32,2026-05-23 14:24:32
stg_fact_audit_opinion,22128022,0.0206,89363,2026-05-23 14:23:07,2026-05-23 14:23:07
stg_fact_dividend,21591902,0.0201,99692,2026-05-23 14:25:29,2026-05-23 14:25:29
stg_fact_earnings_express,7715143,0.0072,27298,2026-05-23 14:25:36,2026-05-23 14:25:36
stg_dim_trade_calendar,5212122,0.0049,39486,2026-05-23 14:22:46,2026-05-23 14:22:46
gcs_load_manifest,3901955,0.0036,13744,2026-05-23 14:20:32,2026-05-23 14:32:10
stg_dim_security_name_history,2848479,0.0027,14421,2026-05-23 14:22:35,2026-05-23 14:22:35
stg_dim_security,1937122,0.0018,6161,2026-05-23 14:22:26,2026-05-23 14:22:26
stg_dim_index,548398,5.0E-4,2485,2026-05-23 14:22:15,2026-05-23 14:22:15
stg_fact_rights_issue,298314,3.0E-4,1166,2026-05-23 14:30:02,2026-05-23 14:30:02
gcs_load_errors,0,0.0,0,2026-05-23 14:20:53,2026-05-23 14:20:53
